State,POCVAP%,Biden Share,Poll,Estimate,$\pi_{cc}$,Poll,$\pi_{ww}$
Alabama,34.53%,37.09%,0.81,0.83,0.9,0.77,0.85
Alaska,38.52%,44.74%,0.44,0.47,0.6,0.53,0.6
Arizona,41.93%,50.16%,0.59,0.62,0.7,0.52,0.6
Arkansas,28.48%,35.79%,0.74,0.8,0.9,0.72,0.75
California,62.13%,64.91%,0.75,0.78,0.8,0.47,0.6
Colorado,31.35%,56.94%,0.55,0.57,0.6,0.41,0.6
Connecticut,33.3%,60.2%,0.75,0.82,0.9,0.43,0.6
Delaware,37.56%,59.63%,0.84,0.86,0.9,0.48,0.6
Florida,45.35%,48.31%,0.67,0.67,0.7,0.62,0.75
Georgia,47.18%,50.12%,0.81,0.82,0.9,0.69,0.75
Hawaii,76.16%,65.03%,0.64,0.66,0.7,0.35,0.6
Idaho,18.52%,34.12%,--,0.56,0.6,0.64,0.75
Illinois,38.76%,58.66%,0.81,0.88,0.9,0.5,0.6
Indiana,21.7%,41.8%,0.72,0.81,0.9,0.61,0.75
Iowa,14.54%,45.82%,0.64,0.78,0.8,0.55,0.6
Kansas,24.46%,42.51%,0.62,0.73,0.8,0.59,0.6
Kentucky,16.6%,36.8%,0.62,0.65,0.7,0.66,0.75
Louisiana,41.69%,40.54%,0.79,0.82,0.9,0.77,0.85
Maine,9.21%,54.67%,0.47,0.86,0.9,0.44,0.6
Maryland,50.13%,67.03%,0.88,0.92,0.9,0.46,0.6
Massachusetts,29.57%,67.12%,0.8,0.89,0.9,0.37,0.6
Michigan,25.09%,51.41%,0.8,0.83,0.9,0.55,0.6
Minnesota,20.05%,53.64%,0.66,0.71,0.8,0.47,0.6
Mississippi,42.24%,41.62%,0.9,0.94,0.9,0.81,0.85
Missouri,22.03%,42.16%,0.71,0.8,0.9,0.62,0.75
Montana,14.42%,41.6%,0.45,0.61,0.7,0.58,0.6
Nebraska,20.79%,40.22%,0.58,0.69,0.7,0.61,0.75
Nevada,50.04%,51.22%,0.62,0.66,0.7,0.56,0.6
New Hampshire,11.15%,53.75%,0.56,0.74,0.8,0.46,0.6
New Jersey,45.53%,58.07%,0.76,0.78,0.8,0.49,0.6
New Mexico,59.48%,55.52%,0.61,0.63,0.7,0.48,0.6
New York,45.54%,61.73%,0.77,0.79,0.8,0.48,0.6
North Carolina,36.36%,49.32%,0.79,0.8,0.8,0.66,0.75
North Dakota,15.59%,32.78%,--,0.67,0.7,0.66,0.75
Ohio,21.6%,45.92%,0.79,0.82,0.9,0.6,0.6
Oklahoma,34.77%,33.06%,0.49,0.51,0.6,0.71,0.75
Oregon,25.05%,58.31%,--,0.6,0.7,0.39,0.6
Pennsylvania,23.85%,50.59%,0.82,0.87,0.9,0.57,0.6
Rhode Island,27.62%,60.6%,--,0.81,0.9,0.41,0.6
South Carolina,35.14%,44.07%,0.78,0.79,0.8,0.73,0.75
South Dakota,16.91%,36.57%,--,0.61,0.7,0.63,0.75
Tennessee,26.49%,38.17%,0.8,0.86,0.9,0.69,0.75
Texas,56.84%,47.17%,0.67,0.68,0.7,0.66,0.75
Utah,22.64%,39.31%,0.46,0.6,0.7,0.59,0.6
Vermont,9.6%,68.3%,--,0.99,0.9,0.31,0.6
Virginia,38.67%,55.15%,0.76,0.76,0.8,0.53,0.6
Washington,32.64%,59.93%,0.49,0.5,0.6,0.36,0.6
West Virginia,9.29%,30.2%,--,0.91,0.9,0.71,0.75
Wisconsin,18.17%,50.32%,0.73,0.75,0.8,0.52,0.6
Wyoming,16.15%,27.52%,--,0.24,0.6,0.69,0.75
