ABBR,STATE,TOTPOP20,OTHERPOP20,BVAP20,NWBHVAP20,NWBHPOP20,APAPOP20,OTHERVAP20,AMINVAP20,WPOP20,NHPIPOP20,2MOREPOP20,APAMIVAP20,BPOP20,ASIANPOP20,NHPIVAP20,ASIANVAP20,VAP20,APBPOP20,APAMIPOP20,APAVAP20,2MOREVAP20,APBVAP20,WVAP20,DOJBVAP20,AMINPOP20,HVAP20,POCVAP20,POCVAP20%,POCVAP20SEATS
AL,Alabama,5024279.0,14455.0,976732.0,90045.0,117393.0,102777.0,9084.0,18137.0,3171351.0,2612.0,184618.0,98114.0,1288159.0,75918.0,1872.0,59997.0,3917166.0,1364736.0,131030.0,74909.0,119944.0,1014372.0,2564544.0,999496.5833333334,23119.0,166856.0,1352622.0,0.34530627499574945,2.417143924970246
AK,Alaska,733391.0,4575.0,16566.0,122735.0,172714.0,61460.0,3308.0,75017.0,421758.0,12455.0,71761.0,105737.0,20731.0,43449.0,8122.0,34290.0,554003.0,35454.0,160287.0,43407.0,42679.0,23665.0,340580.0,20159.2,108838.0,33441.0,213423.0,0.38523798607588766,0.38523798607588766
AZ,Arizona,7151502.0,31611.0,236894.0,428172.0,565337.0,351132.0,23269.0,189473.0,3816547.0,14323.0,266840.0,319230.0,317161.0,248837.0,10590.0,199796.0,5541976.0,446394.0,453560.0,257630.0,174243.0,302176.0,3218094.0,269649.3,263930.0,1489617.0,2323882.0,0.41932372135859125,3.7739134922273214
AR,Arkansas,3011524.0,8047.0,331235.0,69632.0,95207.0,68558.0,5260.0,15691.0,2063550.0,14280.0,147157.0,84912.0,449884.0,51210.0,8250.0,39675.0,2312273.0,495968.0,115614.0,48739.0,96388.0,351878.0,1653772.0,344372.76666666666,20549.0,162002.0,658501.0,0.2847851443147068,1.1391405772588272
CA,California,39538223.0,223929.0,1694380.0,5357768.0,6571714.0,7045163.0,162339.0,122657.0,13714587.0,138167.0,1627722.0,1044783.0,2119286.0,5978795.0,109178.0,4906293.0,30827105.0,2825293.0,1409609.0,5502723.0,1076067.0,2098032.0,11672897.0,1877805.083333333,156085.0,11083294.0,19154208.0,0.6213430680565042,32.30983953893822
CO,Colorado,5773714.0,29560.0,168127.0,214363.0,271429.0,285784.0,21838.0,26942.0,3760663.0,9005.0,260798.0,151224.0,221310.0,195220.0,6646.0,155965.0,4509576.0,318179.0,207787.0,205838.0,170198.0,219101.0,3095664.0,195092.43333333335,33768.0,864196.0,1413912.0,0.313535463200975,2.5082837056078
CT,Connecticut,3605944.0,27076.0,279080.0,159705.0,207128.0,205693.0,19450.0,4967.0,2279232.0,974.0,137569.0,44697.0,360937.0,170459.0,757.0,132859.0,2869227.0,467416.0,60910.0,150724.0,87626.0,339200.0,1913793.0,300095.30000000005,6404.0,430695.0,955434.0,0.33299352055449083,1.664967602772454
DE,Delaware,989948.0,4601.0,161576.0,38891.0,50277.0,50969.0,3024.0,2090.0,579851.0,304.0,43023.0,15627.0,212960.0,42398.0,240.0,33202.0,783543.0,244944.0,21392.0,37878.0,26279.0,178357.0,489226.0,169601.26666666666,2521.0,67906.0,294317.0,0.37562329061710714,0.37562329061710714
FL,Florida,21538187.0,137933.0,2344909.0,661467.0,835087.0,843005.0,96170.0,34541.0,11100503.0,11521.0,792143.0,294420.0,3127052.0,629626.0,9027.0,510811.0,17339232.0,3703952.0,384485.0,637361.0,534389.0,2694907.0,9476700.0,2461583.1166666667,42169.0,4332685.0,7862532.0,0.45345330173793164,12.696692448662086
GA,Georgia,10711908.0,55887.0,2462933.0,429234.0,563290.0,565644.0,37161.0,16155.0,5362156.0,6101.0,390133.0,157885.0,3278119.0,475680.0,4556.0,367605.0,8220274.0,3538146.0,214041.0,416584.0,246613.0,2607986.0,4342333.0,2534246.6333333333,20375.0,742918.0,3877941.0,0.47175325299375664,6.604545541912593
HI,Hawaii,1455271.0,5283.0,18059.0,621668.0,758418.0,824143.0,4224.0,2000.0,314365.0,149054.0,291890.0,28129.0,21877.0,531558.0,105218.0,458268.0,1155905.0,46783.0,41528.0,646555.0,199405.0,31984.0,275624.0,23830.6,2321.0,93107.0,880281.0,0.76155133856156,1.52310267712312
